iter	Passed	Remaining
651	827	441
652	828	440
653	829	438
654	829	437
655	830	435
656	831	434
657	832	432
658	832	431
659	833	429
660	834	427
661	835	426
662	836	424
663	836	423
664	837	421
665	838	420
666	839	418
667	839	417
668	840	416
669	841	414
670	842	413
671	843	411
672	844	410
673	845	408
674	845	407
675	846	405
676	847	404
677	848	402
678	849	401
679	849	399
680	850	398
681	851	397
682	852	395
683	853	394
684	853	392
685	854	391
686	855	389
687	856	388
688	857	387
689	858	385
690	858	384
691	859	382
692	860	381
693	861	379
694	862	378
695	862	376
696	863	375
697	864	374
698	865	372
699	866	371
700	866	369
701	867	368
702	868	366
703	869	365
704	870	364
705	871	362
706	872	361
707	873	360
708	873	358
709	874	357
710	875	355
711	876	354
712	877	353
713	877	351
714	878	350
715	879	348
716	880	347
717	880	346
718	881	344
719	882	343
720	883	341
721	884	340
722	885	339
723	886	337
724	886	336
725	887	335
726	888	333
727	889	332
728	890	330
729	890	329
730	891	328
731	892	326
732	893	325
733	894	324
734	894	322
735	895	321
736	896	319
737	897	318
738	898	317
739	898	315
740	899	314
741	900	313
742	901	311
743	902	310
744	903	309
745	904	307
746	904	306
747	905	305
748	906	303
749	907	302
750	908	301
751	908	299
752	909	298
753	910	297
754	911	295
755	912	294
756	912	293
757	913	291
758	914	290
759	915	289
760	916	287
761	917	286
762	918	285
763	918	283
764	919	282
765	920	281
766	921	279
767	922	278
768	922	277
769	923	275
770	924	274
771	925	273
772	925	271
773	926	270
774	927	269
775	928	267
776	929	266
777	929	265
778	931	264
779	932	262
780	932	261
781	933	260
782	934	258
783	935	257
784	936	256
785	936	255
786	937	253
787	938	252
788	939	251
789	939	249
790	940	248
791	941	247
792	942	245
793	943	244
794	943	243
795	944	242
796	945	240
797	946	239
798	947	238
799	948	237
800	949	235
801	950	234
802	950	233
803	951	231
804	952	230
805	953	229
806	954	228
807	954	226
808	955	225
809	956	224
810	957	223
811	957	221
812	958	220
813	959	219
814	960	218
815	961	216
816	962	215
817	963	214
818	964	213
819	964	211
820	965	210
821	966	209
822	967	208
823	968	206
824	969	205
825	969	204
826	970	203
827	971	201
828	972	200
829	972	199
830	973	198
831	974	196
832	975	195
833	976	194
834	977	193
835	978	191
836	979	190
837	979	189
838	980	188
839	981	186
840	982	185
841	983	184
842	983	183
843	984	182
844	985	180
845	986	179
846	987	178
847	987	177
848	988	175
849	989	174
850	990	173
851	991	172
852	992	171
853	993	169
854	994	168
855	994	167
856	995	166
857	996	164
858	997	163
859	998	162
860	998	161
861	999	160
862	1000	158
863	1001	157
864	1002	156
865	1002	155
866	1003	153
867	1004	152
868	1005	151
869	1006	150
870	1007	149
871	1008	147
872	1008	146
873	1009	145
874	1010	144
875	1011	143
876	1012	141
877	1012	140
878	1013	139
879	1014	138
880	1015	137
881	1016	135
882	1016	134
883	1017	133
884	1018	132
885	1019	131
886	1020	129
887	1021	128
888	1022	127
889	1023	126
890	1024	125
891	1025	124
892	1025	122
893	1026	121
894	1027	120
895	1028	119
896	1029	118
897	1029	116
898	1030	115
899	1031	114
900	1032	113
901	1033	112
902	1033	111
903	1034	109
904	1035	108
905	1036	107
906	1037	106
907	1038	105
908	1039	104
909	1040	102
910	1040	101
911	1041	100
912	1042	99
913	1043	98
914	1044	97
915	1045	95
916	1046	94
917	1046	93
918	1047	92
919	1048	91
920	1049	90
